x y z Cv cell_char_length e gamma p radE rho temperature u v w 
0 0 0.00295 0.144728 0.0001 0.0144728 1.66667 0.00964853 1.37202e-06 1 0.1 -1.6613e-16 0 0.380431 
0 0 0.00305 0.144728 0.0001 0.0144728 1.66667 0.00964853 1.37202e-06 1 0.1 -1.71761e-16 0 0.380431 
0 0 0.00315 0.144728 0.0001 0.0144728 1.66667 0.00964853 1.37202e-06 1 0.1 -1.77392e-16 0 0.380431 
0 0 0.00325 0.144728 0.0001 0.0144728 1.66667 0.00964853 1.37202e-06 1 0.1 -1.83023e-16 0 0.380431 
0 0 0.00335 0.144728 0.0001 0.0144728 1.66667 0.00964853 1.37202e-06 1 0.1 -1.88651e-16 0 0.380431 
0 0 0.00345 0.144728 0.0001 0.0144728 1.66667 0.00964853 1.37202e-06 1 0.1 -1.94278e-16 0 0.380431 
0 0 0.00355 0.144728 0.0001 0.0144728 1.66667 0.00964853 1.37202e-06 1 0.1 -1.999e-16 0 0.380431 
0 0 0.00365 0.144728 0.0001 0.0144728 1.66667 0.00964853 1.37202e-06 1 0.1 -2.05491e-16 0 0.380431 
0 0 0.00375 0.144728 0.0001 0.0144728 1.66667 0.00964853 1.37202e-06 1 0.1 -2.11007e-16 0 0.380431 
0 0 0.00385 0.144728 0.0001 0.0144728 1.66667 0.00964853 1.37202e-06 1 0.1 -2.16561e-16 0 0.380431 
0 0 0.00395 0.144728 0.0001 0.0144728 1.66667 0.00964853 1.37202e-06 1 0.1 -2.22611e-16 0 0.380431 
0 0 0.00405 0.144728 0.0001 0.0144728 1.66667 0.00964853 1.37202e-06 1 0.1 -2.28278e-16 0 0.380431 
0 0 0.00415 0.144728 0.0001 0.0144728 1.66667 0.00964853 1.37202e-06 1 0.1 -2.29572e-16 0 0.380431 
0 0 0.00425 0.144728 0.0001 0.0144728 1.66667 0.00964853 1.37202e-06 1 0.1 -2.29572e-16 0 0.380431 
0 0 0.00435 0.144728 0.0001 0.0144728 1.66667 0.00964853 1.37202e-06 1 0.1 -2.29572e-16 0 0.380431 
0 0 0.00445 0.144728 0.0001 0.0144728 1.66667 0.00964853 1.37202e-06 1 0.1 -2.29572e-16 0 0.380431 
0 0 0.00455 0.144728 0.0001 0.0144728 1.66667 0.00964853 1.37202e-06 1 0.1 -2.29572e-16 0 0.380431 
0 0 0.00465 0.144728 0.0001 0.0144728 1.66667 0.00964853 1.37202e-06 1 0.1 -2.29572e-16 0 0.380431 
0 0 0.00475 0.144728 0.0001 0.0144728 1.66667 0.00964853 1.37202e-06 1 0.1 -2.29572e-16 0 0.380431 
0 0 0.00485 0.144728 0.0001 0.0144728 1.66667 0.00964853 1.37202e-06 1 0.1 -2.29572e-16 0 0.380431 
0 0 0.00495 0.144728 0.0001 0.0144728 1.66667 0.00964853 1.37202e-06 1 0.1 -2.29572e-16 0 0.380431 
0 0 0.00505 0.144728 0.0001 0.0144728 1.66667 0.00964853 1.37202e-06 1 0.1 -2.29572e-16 0 0.380431 
0 0 0.00515 0.144728 0.0001 0.0144728 1.66667 0.00964853 1.37202e-06 1 0.1 -2.29572e-16 0 0.380431 
0 0 0.00525 0.144728 0.0001 0.0144728 1.66667 0.00964853 1.37202e-06 1 0.1 -2.29572e-16 0 0.380431 
0 0 0.00535 0.144728 0.0001 0.0144728 1.66667 0.00964853 1.37202e-06 1 0.1 -2.29572e-16 0 0.380431 
0 0 0.00545 0.144728 0.0001 0.0144728 1.66667 0.00964853 1.37202e-06 1 0.1 -2.29572e-16 0 0.380431 
0 0 0.00555 0.144728 0.0001 0.0144728 1.66667 0.00964853 1.37202e-06 1 0.1 -2.29572e-16 0 0.380431 
0 0 0.00565 0.144728 0.0001 0.0144728 1.66667 0.00964853 1.37202e-06 1 0.1 -2.29572e-16 0 0.380431 
0 0 0.00575 0.144728 0.0001 0.0144728 1.66667 0.00964853 1.37202e-06 1 0.1 -2.29572e-16 0 0.380431 
0 0 0.00585 0.144728 0.0001 0.0144728 1.66667 0.00964853 1.37202e-06 1 0.1 -2.29572e-16 0 0.380431 
0 0 0.00595 0.144728 0.0001 0.0144728 1.66667 0.00964853 1.37202e-06 1 0.1 -2.29572e-16 0 0.380431 
0 0 0.00605 0.144728 0.0001 0.0144728 1.66667 0.00964853 1.37202e-06 1 0.1 -2.29572e-16 0 0.380431 
0 0 0.00615 0.144728 0.0001 0.0144728 1.66667 0.00964853 1.37202e-06 1 0.1 -2.29572e-16 0 0.380431 
0 0 0.00625 0.144728 0.0001 0.0144728 1.66667 0.00964853 1.37202e-06 1 0.1 -2.29572e-16 0 0.380431 
0 0 0.00635 0.144728 0.0001 0.0144728 1.66667 0.00964853 1.37202e-06 1 0.1 -2.29572e-16 0 0.380431 
0 0 0.00645 0.144728 0.0001 0.0144728 1.66667 0.00964853 1.37202e-06 1 0.1 -2.29572e-16 0 0.380431 
0 0 0.00655 0.144728 0.0001 0.0144728 1.66667 0.00964853 1.37202e-06 1 0.1 -2.29572e-16 0 0.380431 
